country,country_code,currency_code,reference_profile_id,reference_profile_description,harmonized_wage_point_intl_usd,ppp_factor_lcu_per_intl_usd,gross_monthly_local,gross_monthly_intl_usd,employee_contributions_monthly_local,employee_contributions_monthly_intl_usd,employer_contributions_monthly_local,employer_contributions_monthly_intl_usd,net_before_income_tax_monthly_local,net_before_income_tax_monthly_intl_usd,income_tax_or_withholding_tax_monthly_local,income_tax_or_withholding_tax_monthly_intl_usd,net_after_income_tax_monthly_local,net_after_income_tax_monthly_intl_usd,employer_cost_monthly_local,employer_cost_monthly_intl_usd,social_wedge_before_income_tax_rate,total_wedge_after_income_tax_rate,cost_to_net_before_income_tax_ratio,cost_to_net_after_income_tax_ratio,income_tax_modeled,aggregation_method,below_minimum_wage,national_minimum_wage_monthly_local,note,flcl_e_before_income_tax
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",7500.0,0.682739,5120.54,7500.0,453.42,664.12,815.66,1194.69,4667.12,6835.88,939.08,1375.45,3728.05,5460.43,5936.2,8694.69,0.213787,0.371981,1.271919,1.592309,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",78.62131944899703
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",7500.0,0.88195,6614.62,7500.0,277.81,315.0,744.16,843.77,6336.81,7185.0,1777.58,2015.51,4559.23,5169.49,7358.78,8343.77,0.138878,0.380436,1.161275,1.614039,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.1121531394082
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",7500.0,0.588481,4413.61,7500.0,286.88,487.49,1396.91,2373.76,4126.73,7012.51,1008.89,1714.39,3117.84,5298.12,5810.52,9873.76,0.289783,0.463414,1.408021,1.863634,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.02167765876423
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",8000.0,0.716934,5735.47,8000.0,1204.66,1680.3,2490.77,3474.2,4530.81,6319.7,698.33,974.05,3832.48,5345.65,8226.24,11474.2,0.449225,0.534116,1.815625,2.146456,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",55.07747816841261
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",8000.0,0.701547,5612.38,8000.0,1220.69,1740.0,1187.02,1692.0,4391.68,6260.0,953.41,1359.01,3438.27,4900.99,6799.39,9692.0,0.354106,0.494326,1.548243,1.97756,True,single_reference_profile,False,2409.33,,64.589352042922
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,8000.0,0.752163,6017.3,8000.0,786.46,1045.6,1504.33,2000.0,5230.84,6954.4,1696.27,2255.19,3534.57,4699.21,7521.63,10000.0,0.30456,0.530079,1.437939,2.128017,True,single_reference_profile,False,2189.81,,69.544
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",8000.0,1.107209,8857.67,8000.0,940.93,849.82,878.93,793.82,7916.74,7150.18,1117.98,1009.72,6798.76,6140.45,9736.6,8793.82,0.186909,0.301731,1.229875,1.432113,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",81.30914665071607
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",8000.0,0.74195,5935.6,8000.0,0.0,0.0,1097.49,1479.2,5935.6,8000.0,1797.72,2422.97,4137.88,5577.03,7033.09,9479.2,0.156047,0.411656,1.1849,1.699685,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089628
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",8000.0,0.682739,5461.91,8000.0,460.25,674.12,866.87,1269.69,5001.66,7325.88,1076.17,1576.26,3925.49,5749.62,6328.78,9269.69,0.209696,0.37974,1.265336,1.612227,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",79.03047458976513
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",8000.0,0.88195,7055.6,8000.0,296.36,336.03,793.74,899.98,6759.24,7663.97,1989.24,2255.5,4770.0,5408.47,7849.34,8899.98,0.138878,0.392306,1.161276,1.645564,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11221598250783
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",8000.0,0.588481,4707.85,8000.0,306.01,520.0,1490.03,2531.99,4401.84,7480.0,1111.07,1888.03,3290.77,5591.97,6197.88,10531.99,0.289783,0.469049,1.40802,1.883413,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.02171574412813
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",8500.0,0.716934,6093.94,8500.0,1275.61,1779.25,2644.97,3689.28,4818.33,6720.75,778.72,1086.18,4039.61,5634.57,8738.91,12189.29,0.448635,0.537744,1.813679,2.163304,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",55.136517385344014
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",8500.0,0.701547,5963.15,8500.0,1280.19,1824.81,1245.31,1775.1,4682.96,6675.19,1061.91,1513.67,3621.05,5161.52,7208.46,10275.1,0.350352,0.497667,1.539295,1.990709,True,single_reference_profile,False,2409.33,,64.96472053799963
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,8500.0,0.752163,6393.39,8500.0,835.62,1110.95,1598.35,2125.0,5557.77,7389.05,1871.17,2487.72,3686.6,4901.33,7991.73,10625.0,0.30456,0.538698,1.437939,2.167778,True,single_reference_profile,False,2189.81,,69.544
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",8500.0,1.107209,9411.28,8500.0,983.01,887.83,917.13,828.33,8428.27,7612.18,1242.06,1121.8,7186.21,6490.38,10328.41,9328.33,0.183972,0.304229,1.225448,1.437255,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",81.6028163669167
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",8500.0,0.74195,6306.57,8500.0,0.0,0.0,1166.09,1571.65,6306.57,8500.0,1984.94,2675.3,4321.64,5824.7,7472.66,10071.65,0.156047,0.421674,1.1849,1.729128,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.39530762089628
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",8500.0,0.682739,5803.28,8500.0,467.08,684.13,918.07,1344.69,5336.2,7815.87,1213.27,1777.06,4122.93,6038.81,6721.35,9844.69,0.206082,0.386592,1.259576,1.630235,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",79.3917330053054
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",8500.0,0.88195,7496.57,8500.0,314.86,357.0,843.35,956.23,7181.72,8143.0,2200.92,2495.52,4980.8,5647.48,8339.92,9456.23,0.138875,0.402777,1.161272,1.674416,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11254167887203
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",8500.0,0.588481,5002.09,8500.0,325.14,552.51,1583.16,2690.25,4676.95,7947.49,1214.41,2063.63,3462.54,5883.86,6585.25,11190.25,0.289784,0.474197,1.408022,1.901854,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.02155894640424
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",9000.0,0.716934,6452.41,9000.01,1346.55,1878.2,2799.17,3904.37,5105.86,7121.8,859.11,1198.31,4246.75,5923.49,9251.58,12904.37,0.448109,0.54097,1.811953,2.178508,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",55.1890561104494
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",9000.0,0.701547,6313.92,9000.0,1317.37,1877.81,1282.49,1828.1,4996.55,7122.19,1182.41,1685.43,3814.14,5436.76,7596.42,10828.1,0.342249,0.497902,1.520332,1.991644,True,single_reference_profile,False,2409.33,,65.77506672454078
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,9000.0,0.752163,6769.47,9000.0,884.77,1176.3,1692.37,2250.0,5884.7,7823.7,2046.08,2720.26,3838.62,5103.44,8461.83,11250.0,0.30456,0.546361,1.437939,2.204396,True,single_reference_profile,False,2189.81,,69.544
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",9000.0,1.107209,9964.88,9000.0,1025.08,925.82,955.33,862.83,8939.8,8074.18,1368.58,1236.06,7571.22,6838.11,10920.21,9862.83,0.181353,0.306678,1.221527,1.442332,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",81.86473861964568
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",9000.0,0.74195,6677.55,9000.0,0.0,0.0,1223.56,1649.12,6677.55,9000.0,2180.02,2938.23,4497.53,6061.77,7901.11,10649.12,0.154859,0.430772,1.183235,1.756767,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",84.51402557206605
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",9000.0,0.682739,6144.65,9000.0,473.9,694.12,969.28,1419.69,5670.75,8305.88,1350.36,1977.85,4320.39,6328.03,7113.93,10419.69,0.202867,0.392685,1.254495,1.646593,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",79.71331200832269
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",9000.0,0.88195,7937.55,9000.0,333.36,377.98,892.97,1012.5,7604.19,8622.02,2412.57,2735.5,5191.62,5886.52,8830.52,10012.5,0.138874,0.412082,1.16127,1.700918,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11255930087391
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",9000.0,0.588481,5296.33,9000.0,331.58,563.45,1614.53,2743.56,4964.75,8436.55,1324.31,2250.38,3640.44,6186.17,6910.86,11743.56,0.281602,0.473229,1.391986,1.898357,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",71.83979985626164
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",9500.0,0.716934,6810.87,9500.0,1417.49,1977.15,2953.37,4119.44,5393.38,7522.84,939.5,1310.44,4453.88,6212.4,9764.24,13619.44,0.447639,0.543857,1.810411,2.192297,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",55.2360449475162
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",9500.0,0.701547,6664.7,9500.0,1354.55,1930.81,1319.68,1881.1,5310.14,7569.19,1307.08,1863.14,4003.06,5706.05,7984.37,11381.1,0.334933,0.498638,1.503607,1.994565,True,single_reference_profile,False,2409.33,,66.5066645579074
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,9500.0,0.752163,7145.55,9500.0,933.92,1241.65,1786.39,2375.0,6211.63,8258.35,2220.99,2952.8,3990.64,5305.55,8931.94,11875.0,0.30456,0.553217,1.437939,2.238224,True,single_reference_profile,False,2189.81,,69.544
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",9500.0,1.107209,10518.49,9500.0,1067.16,963.83,993.53,897.33,9451.33,8536.18,1499.99,1354.75,7951.34,7181.42,11512.02,10397.33,0.179003,0.309301,1.218032,1.447809,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",82.09973137334296
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",9500.0,0.74195,7048.52,9500.0,0.0,0.0,1223.56,1649.12,7048.52,9500.0,2387.81,3218.29,4660.72,6281.71,8272.09,11149.12,0.147914,0.436573,1.173591,1.774853,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",85.20851869923365
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",9500.0,0.682739,6486.02,9500.0,480.73,704.12,1020.48,1494.69,6005.29,8795.88,1487.58,2178.84,4517.71,6617.04,7506.5,10994.69,0.199988,0.39816,1.249981,1.661571,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",80.00116419835392
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",9500.0,0.88195,8378.52,9500.0,351.91,399.01,942.59,1068.76,8026.61,9100.99,2624.25,2975.51,5402.36,6125.48,9321.11,10568.76,0.138878,0.420416,1.161276,1.725377,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.11218345387728
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",9500.0,0.588481,5590.57,9500.0,331.58,563.45,1614.53,2743.56,5258.99,8936.55,1443.83,2453.49,3815.16,6483.06,7205.1,12243.56,0.270102,0.470492,1.370054,1.888546,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",72.98980035218514
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",10000.0,0.716934,7169.34,10000.0,1488.43,2076.1,3107.57,4334.52,5680.91,7923.9,1019.89,1422.57,4661.02,6501.33,10276.91,14334.52,0.447216,0.546457,1.809025,2.204862,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",55.27844671464409
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",10000.0,0.701547,7015.47,10000.0,1391.73,1983.81,1356.86,1934.1,5623.74,8016.19,1436.0,2046.9,4187.74,5969.29,8372.33,11934.1,0.328295,0.499812,1.488748,1.999249,True,single_reference_profile,False,2409.33,,67.17046111562665
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,10000.0,0.752163,7521.63,10000.0,983.08,1307.0,1880.41,2500.0,6538.55,8693.0,2395.89,3185.33,4142.66,5507.67,9402.04,12500.0,0.30456,0.559387,1.437939,2.269564,True,single_reference_profile,False,2189.81,,69.544
Switzerland,CH,CHF,switzerland__population_weighted_average_26_cantons__single_no_child_standard_lpp,"Population-weighted average across all 26 cantons, tariff A0N (single, no child, no church tax where available), standardized LPP/BVG and accident insurance assumptions.",10000.0,1.107209,11072.09,10000.0,1109.23,1001.83,1031.72,931.82,9962.86,8998.17,1630.93,1473.01,8331.93,7525.17,12103.81,10931.82,0.176882,0.311627,1.214893,1.452702,True,population_weighted_average_26_cantons,False,3000.0,"Withholding tax and net figures are a population-weighted average across all 26 cantons (BFS 2024 permanent resident population), not a single reference canton.",82.31172851364182
Netherlands,NL,EUR,netherlands__standard_permanent_contract,"Permanent contract (WW low rate), large employer (Aof high rate), single, childless, below AOW age, standard loonheffingskorting (main/only job).",10000.0,0.74195,7419.5,10000.0,0.0,0.0,1223.56,1649.12,7419.5,10000.0,2595.59,3498.34,4823.91,6501.66,8643.06,11649.12,0.141566,0.441875,1.164912,1.791713,True,single_reference_profile,False,2338.44,"The Netherlands has no separate employee social-security contribution: AOW/Anw/Wlz national-insurance premiums are bundled into the Box 1 wage-tax rate. The figure shown as income tax is the full 'loonheffing' (income tax + national insurance combined); employee_contributions is 0 by construction, not because no social insurance is paid.",85.84339417913112
United Kingdom,UK,GBP,uk__population_weighted_average_ruk_scotland,"Population-weighted average of rUK (England, Wales, Northern Ireland) and Scotland income-tax regimes, standard employee, full-time, standard tax code, auto-enrolled in a workplace pension at the statutory minimum rates.",10000.0,0.682739,6827.39,10000.0,487.56,714.12,1071.69,1569.69,6339.83,9285.88,1625.49,2380.84,4714.34,6905.03,7899.08,11569.69,0.197396,0.403179,1.245945,1.675545,True,population_weighted_average_ruk_scotland,False,2065.38,"Employee/employer contributions include Class 1 National Insurance and the statutory-minimum automatic-enrolment workplace pension (employee 5%, employer 3% of qualifying earnings), not income tax alone. Income tax is a population-weighted average of rUK and Scottish devolved bands (ONS/NRS mid-2024 population estimates).",80.26040455707974
Ireland,IE,EUR,ireland__standard_employee,"Standard, single, childless employee, full-time, PRSI Class A, January-September 2026 rates.",10000.0,0.88195,8819.5,10000.0,370.41,419.99,992.2,1125.01,8449.09,9580.01,2835.91,3215.5,5613.18,6364.51,9811.7,11125.01,0.138876,0.42791,1.161273,1.747975,True,single_reference_profile,False,2391.35,"The income-tax figure shown bundles PAYE income tax and the Universal Social Charge (USC), since USC is a separate tax on income rather than a social contribution; employee/employer contributions are PRSI Class A only (January-September 2026 rates).",86.1123720338229
Spain,ES,EUR,spain__population_weighted_average_16_regions,"Population-weighted average across 16 comunidades autonomas (Madrid, Andalucia, Aragon, Asturias, Baleares, Canarias, Cantabria, Castilla-La Mancha, Castilla y Leon, Cataluna, Extremadura, Galicia, Murcia, La Rioja, Comunidad Valenciana, Ceuta/Melilla), standard single childless employee, Seguridad Social Regimen General.",10000.0,0.588481,5884.81,10000.0,331.58,563.45,1614.53,2743.56,5553.23,9436.55,1575.26,2676.83,3977.97,6759.72,7499.34,12743.56,0.259504,0.469558,1.350446,1.885219,True,population_weighted_average_16_regions,False,1424.5,"Income tax (IRPF) is a population-weighted average across 16 comunidades autonomas (INE 1 January 2025 population), mirroring how Switzerland's cantons are aggregated. Navarra and Pais Vasco are excluded: separate 'foral' tax systems, out of scope. Employee/employer contributions are Seguridad Social Regimen General only, national and identical across all regions.",74.04955914987649
France,FR,EUR,non_cadre__standard__lt50__standard__full_time,"Non-executive employee, outside Alsace-Moselle, firm with fewer than 50 employees, standard AT/MP rate, full-time. Income tax: single, childless taxpayer (1 part), progressive bareme.",10500.0,0.716934,7527.81,10500.0,1559.37,2175.06,3261.77,4549.61,5968.44,8324.95,1100.28,1534.7,4868.16,6790.25,10789.58,15049.61,0.446833,0.548809,1.807772,2.216357,True,single_reference_profile,False,1867.02,"Income tax shown is the actual tax due by a single, childless reference taxpayer (1 part de quotient familial), computed via the true progressive income-tax bareme (marginal brackets) on the annualized net-taxable salary after the standard 10% deduction; see methodology notes.",55.31671584845056
Germany,DE,EUR,germany__public_health__childless__outside_saxony,"Public health insurance, childless, outside Saxony.",10500.0,0.701547,7366.24,10500.0,1428.92,2036.81,1394.04,1987.1,5937.33,8463.19,1568.83,2236.24,4368.5,6226.95,8760.28,12487.1,0.322245,0.501329,1.475459,2.005331,True,single_reference_profile,False,2409.33,,67.77546427913606
Belgium,BE,EUR,belgium__standard_private_sector,Standard private-sector employee (only profile currently modeled for Belgium).,10500.0,0.752163,7897.71,10500.0,1032.23,1372.35,1974.43,2625.0,6865.48,9127.65,2570.8,3417.88,4294.68,5709.77,9872.14,13125.0,0.30456,0.56497,1.437939,2.29869,True,single_reference_profile,False,2189.81,,69.544
